avgwordsen|avgchrword|avgsylword|nounperc|verbperc|pronperc|adjperc|conjperc|entropy|surprisal
Cказка $ Роальд Даль $ Чарли и шоколадная фабрика.txt:7.4051|5.25075|2.26672|0.28752|0.19165|0.08342|0.08862|0.07277|9.49034|23.65564
братья Гримм Бременские музыканты:8.44444|4.63259|2.06575|0.26215|0.27935|0.09109|0.05061|0.08401|7.32125|16.95518
Винни Пух и все все все.txt:9.52417|4.76562|2.06093|0.21659|0.2096|0.11564|0.05656|0.10076|8.86852|21.59928
Волков Волшебник Изумрудного города:9.51271|5.15886|2.26011|0.27342|0.20147|0.09431|0.09726|0.08559|9.54748|23.69837
Гавальда А. 35 кило надежды.txt:9.40883|4.72379|2.09601|0.20777|0.20114|0.14647|0.06038|0.08395|8.99997|23.58068
Катаев Цветик-семицветик:10.91489|5.4308|2.38618|0.29045|0.20858|0.07407|0.09552|0.07018|7.60706|17.4603
Кир Булычев Сто лет тому вперед:7.54972|5.02395|2.22315|0.24358|0.21343|0.1048|0.07191|0.0823|9.59464|23.38942
Крот в городе.txt:9.33092|5.13565|2.24391|0.24851|0.21123|0.09863|0.06912|0.07792|8.87883|23.53034
Приключения $ Носов $ Рассказы:7.18085|4.74334|2.07834|0.22373|0.24299|0.11881|0.04515|0.08444|9.33586|22.806
Сказка $ Алексей Толстой $ Золотой ключик, или приключения Буратино:11.66164|5.30622|2.34158|0.31971|0.19863|0.072|0.09584|0.06369|9.79302|24.84815
Сказка $ Андерсен $ Сказки:11.89082|4.91909|2.17532|0.24564|0.19377|0.09434|0.0923|0.09123|9.42487|24.41761
Сказка $ Джоэль $ Сказки дядюшки Римуса:9.3455|4.72287|1.98103|0.28809|0.21491|0.09605|0.03781|0.0957|8.69176|21.3395
Сказка $ Линдгрен $ Малыш и Карлсон.txt:9.86092|4.92393|2.14713|0.24261|0.20268|0.1044|0.06858|0.09419|9.59262|20.47262
Сказка $ Линдгрен $ Пиппи длинный чулок:9.7418|4.9828|2.19277|0.24675|0.19829|0.09621|0.07467|0.09286|9.51965|22.0067
Сказка $ Шарль Перро $ Красная шапочка:11.01786|4.81199|2.16695|0.27877|0.17504|0.08428|0.094|0.10373|7.11575|16.4208
фэнтези $ Роулинг $ Гарри Поттер и Кубок огня:9.85478|5.23987|2.27162|0.29283|0.19494|0.0902|0.07743|0.06976|10.19809|23.8357
фэнтези $ Роулинг $ Гарри Поттер и Принц полукровка:12.1126|5.3062|2.29677|0.26314|0.19501|0.10071|0.07961|0.07219|10.07918|23.08897
фэнтези $ Роулинг $ Гарри Поттер и Тайная комната:9.24073|5.26696|2.2735|0.29844|0.19712|0.0851|0.08194|0.06295|10.17636|25.2468
фэнтези $ Роулинг $ Гарри Поттер и узник Азкабана:8.75616|5.22343|2.26041|0.29833|0.20186|0.09093|0.07189|0.06657|10.0643|24.42
Фэнтези $ Роулинг $ Гарри Поттер и Философский камень:10.87325|5.10148|2.2177|0.25579|0.19694|0.10713|0.07279|0.08451|9.74174|22.56575
Ян Ларри Необыкновенные приключения Карика и Вали:7.39042|5.24854|2.30221|0.28287|0.21054|0.07312|0.08144|0.07225|9.81061|23.65786
Янссон Мемуары папы Муми Тролля:8.69948|5.2929|2.30164|0.23726|0.19412|0.10845|0.09904|0.07895|9.78474|25.14754
Янссон Муми-тролль и комета:9.39907|5.14551|2.19633|0.252|0.20706|0.09417|0.07995|0.08013|9.52701|24.28022
Янссон Опасное лето:8.08974|5.26609|2.28247|0.26389|0.21011|0.09555|0.07919|0.07668|9.63227|24.78889
Bandit iz Chiertova Kan_ona - Edghar Rais Bierrouz.txt:9.98275|5.08096|2.23393|0.24095|0.19521|0.11627|0.0855|0.07616|9.75285|23.37307
Bieghstvo na Vienieru - Edghar Bierrouz.txt:9.42876|4.99196|2.22021|0.22477|0.20883|0.14966|0.07258|0.07853|9.40684|21.90782
Biezumnyi korol_ - Edghar Rais Bierrouz.txt:11.7054|5.3011|2.30771|0.2926|0.18366|0.08746|0.08247|0.08076|9.80167|23.33089
Boghi Marsa - Edghar Rais Bierrouz.txt:13.0503|5.1644|2.26883|0.25769|0.17126|0.11055|0.10206|0.07289|9.69252|23.18906
Boievoi chieloviek Marsa - Edghar Rais Bierrouz.txt:9.99818|4.91579|2.17715|0.23435|0.19419|0.13726|0.07797|0.0831|9.36072|21.87685
Boksier Billi - Edghar Rais Bierrouz.txt:11.67757|5.14271|2.26273|0.25322|0.18613|0.11578|0.08272|0.07558|9.57112|23.29611
Doch_ tysiachi dzhieddakov - Edghar Rais Bierrouz.txt:20.09349|5.19264|2.30657|0.25682|0.15557|0.10547|0.10835|0.08316|9.67845|23.4856
Gighant s Marsa - Edghar Rais Bierrouz.txt:11.65662|5.6461|2.47776|0.33478|0.17103|0.05817|0.12157|0.05667|9.57286|24.32666
Iskusstviennyie liudi Marsa - Edghar Rais Bierrouz.txt:9.59983|4.89863|2.15104|0.23378|0.20071|0.14536|0.06934|0.08299|9.21226|21.44352
Karson Vienierianskii - Edghar Bierrouz.txt:10.39149|4.95955|2.18876|0.21655|0.20128|0.15481|0.07071|0.08109|9.31566|21.6393
Krasnyi iastrieb - Edghar Rais Bierrouz.txt:10.30088|4.80557|2.12762|0.23472|0.19316|0.13664|0.07524|0.08772|9.06858|22.81141
Lana iz Gatola - Edghar Rais Bierrouz.txt:8.91935|4.91153|2.15196|0.22918|0.20374|0.14567|0.07356|0.07934|9.49409|22.52533
Liudi iz zabytogho vriemieni - Edghar Rais Bierrouz.txt:15.61899|5.09692|2.27902|0.2473|0.17705|0.11752|0.08969|0.08994|9.36057|23.33374
Liudi s Luny - Edghar Rais Bierrouz.txt:10.24244|4.79377|2.12183|0.22242|0.20295|0.1501|0.06823|0.08838|9.14274|22.48109
Liudi-monstry - Edghar Rais Bierrouz.txt:14.55646|5.3529|2.36535|0.27397|0.17341|0.09455|0.09574|0.08027|9.71137|23.66365
Lunnaia dievushka - Edghar Rais Bierrouz.txt:13.32918|5.07205|2.28043|0.21557|0.1857|0.13935|0.07441|0.09013|9.39453|22.59338
Marsianskiie shakhmaty - Edghar Rais Bierrouz.txt:11.29338|5.16862|2.30172|0.27527|0.1826|0.10356|0.08792|0.07867|9.5419|22.55563
Miechi Marsa - Edghar Rais Bierrouz.txt:10.25225|4.87658|2.15034|0.21374|0.20918|0.15746|0.07052|0.07937|9.14965|20.76208
Obratno v kamiennyi viek - Edghar Rais Bierrouz.txt:10.26942|4.90685|2.12802|0.23625|0.21258|0.13684|0.06671|0.08238|9.18713|21.11486
Pielliusidar - Edghar Rais Bierrouz.txt:13.91199|5.10902|2.27981|0.24553|0.18971|0.11627|0.08088|0.07911|9.52323|23.29836
Pieshchiernaia dievushka - Edghar Rais Bierrouz.txt:14.3847|5.12772|2.28016|0.25339|0.19005|0.1006|0.08573|0.08693|9.42392|22.0573
Piraty Vieniery - Edghar Bierrouz.txt:12.85111|5.22231|2.30629|0.23214|0.18199|0.12545|0.09247|0.08102|9.69007|23.79426
Poisk Tarzana - Edghar Bierrouz.txt:8.61535|5.17533|2.25158|0.24255|0.21104|0.11857|0.06434|0.07273|9.60447|23.98032
Posliednii iz plieistotsiena - Edghar Bierrouz.txt:10.61377|5.0735|2.23233|0.23041|0.19474|0.13835|0.08557|0.08395|8.97494|23.56927
Potieriannyi kontinient - Edghar Rais Bierrouz.txt:15.2412|5.18904|2.29546|0.23913|0.17382|0.12005|0.09843|0.09174|9.55616|24.06734
Prikliuchieniia Tarzana v dzhunghliakh - Edghar Rais Bierrouz.txt:14.09021|5.28094|2.33166|0.27844|0.17137|0.08042|0.10872|0.08095|9.68923|23.35294
Prikliuchieniia v niedrakh Ziemli - Edghar Bierrouz.txt:9.42548|5.30897|2.32276|0.27585|0.20017|0.08851|0.07758|0.07472|9.78432|25.05482
Proisshiestviie v Okdieilie - Edghar Rais Bierrouz.txt:11.04973|5.26677|2.29064|0.27196|0.18934|0.09076|0.09735|0.08362|9.92631|25.55311
Skielietoidy s Iupitiera - Edghar Rais Bierrouz.txt:11.93464|5.2096|2.31313|0.24246|0.17116|0.13021|0.09638|0.07314|9.37863|23.42474
Sviriepyi Pielliusidar - Edghar Bierrouz.txt:10.56288|5.03493|2.25217|0.25035|0.20713|0.11164|0.06788|0.08174|9.51885|22.96794
