,avgwordsen,avgchrword,avgsylword,nounperc,verbperc,pronperc,adjperc,conjperc,entropy,surprisal
Cказка $ Роальд Даль $ Чарли и шоколадная фабрика.txt,7.4051,5.25075,2.26672,0.28752,0.19165,0.08342,0.08862,0.07277,9.49034,4.05893
братья Гримм Бременские музыканты,8.44444,4.63259,2.06575,0.26215,0.27935,0.09109,0.05061,0.08401,7.32125,2.12707
Винни Пух и все все все.txt,9.52417,4.76562,2.06093,0.21659,0.2096,0.11564,0.05656,0.10076,8.86852,4.35152
Волков Волшебник Изумрудного города,9.51271,5.15886,2.26011,0.27342,0.20147,0.09431,0.09726,0.08559,9.54748,4.42421
Гавальда А. 35 кило надежды.txt,9.40883,4.72379,2.09601,0.20777,0.20114,0.14647,0.06038,0.08395,8.99997,3.50309
Катаев Цветик-семицветик,10.91489,5.4308,2.38618,0.29045,0.20858,0.07407,0.09552,0.07018,7.60706,1.22792
Кир Булычев Сто лет тому вперед,7.54972,5.02395,2.22315,0.24358,0.21343,0.1048,0.07191,0.0823,9.59464,5.01881
Крот в городе.txt,9.33092,5.13565,2.24391,0.24851,0.21123,0.09863,0.06912,0.07792,8.87883,2.71046
Приключения $ Носов $ Рассказы,7.18085,4.74334,2.07834,0.22373,0.24299,0.11881,0.04515,0.08444,9.33586,4.781
"Сказка $ Алексей Толстой $ Золотой ключик, или приключения Буратино",11.66164,5.30622,2.34158,0.31971,0.19863,0.072,0.09584,0.06369,9.79302,3.71265
Сказка $ Андерсен $ Сказки,11.89082,4.91909,2.17532,0.24564,0.19377,0.09434,0.0923,0.09123,9.42487,4.29908
Сказка $ Джоэль $ Сказки дядюшки Римуса,9.3455,4.72287,1.98103,0.28809,0.21491,0.09605,0.03781,0.0957,8.69176,4.01642
Сказка $ Линдгрен $ Малыш и Карлсон.txt,9.86092,4.92393,2.14713,0.24261,0.20268,0.1044,0.06858,0.09419,9.59262,5.6683
Сказка $ Линдгрен $ Пиппи длинный чулок,9.7418,4.9828,2.19277,0.24675,0.19829,0.09621,0.07467,0.09286,9.51965,4.97137
Сказка $ Шарль Перро $ Красная шапочка,11.01786,4.81199,2.16695,0.27877,0.17504,0.08428,0.094,0.10373,7.11575,1.73973
фэнтези $ Роулинг $ Гарри Поттер и Кубок огня,9.85478,5.23987,2.27162,0.29283,0.19494,0.0902,0.07743,0.06976,10.19809,5.47035
